,type,adj_year,price,year
0,marks,0.0,1.2399380859509428,1918.0
1,marks,0.07999999999992724,1.260085459088238,1918.08
2,marks,0.17000000000007276,1.2399380859509428,1918.17
3,marks,0.25,1.220112847031931,1918.25
4,marks,0.32999999999992724,1.220112847031931,1918.33
5,marks,0.42000000000007276,1.27997061670518,1918.42
6,marks,0.5,1.3800664559703322,1918.5
7,marks,0.5799999999999272,1.450106836421972,1918.58
8,marks,0.6700000000000728,1.5700012565614903,1918.67
9,marks,0.75,1.5700012565614903,1918.75
10,marks,0.8299999999999272,1.770108958317421,1918.83
11,marks,0.9200000000000728,1.9701532072167591,1918.92
12,marks,1.0,1.9498445997580451,1919.0
13,marks,1.0799999999999272,2.1702012035683533,1919.08
14,marks,1.1700000000000728,2.470017328046605,1919.17
15,marks,1.25,2.999853181190793,1919.25
16,marks,1.3299999999999272,3.0598490346549974,1919.33
17,marks,1.4200000000000728,3.339642659866253,1919.42
18,marks,1.5,3.5900458899019942,1919.5
19,marks,1.5799999999999272,4.480226804128664,1919.58
20,marks,1.6700000000000728,5.730598740537326,1919.67
21,marks,1.75,6.389987373482769,1919.75
22,marks,1.8299999999999272,9.120108393559097,1919.83
23,marks,1.9200000000000728,11.140379873306179,1919.92
24,marks,2.0,15.39926526059492,1920.0
25,marks,2.0799999999999272,23.59934775551644,1920.08
26,marks,2.1700000000000728,19.998618696327437,1920.17
27,marks,2.25,14.200381105421542,1920.25
28,marks,2.3299999999999272,11.099412707748233,1920.33
29,marks,2.4200000000000728,9.300365147539603,1920.42
30,marks,2.5,9.399397147667806,1920.5
31,marks,2.5799999999999272,11.399872655699768,1920.58
32,marks,2.6700000000000728,13.80066455970332,1920.67
33,marks,2.75,16.199439939036292,1920.75
34,marks,2.8299999999999272,18.39924489796671,1920.83
35,marks,2.9200000000000728,17.398026980382877,1920.92
36,marks,3.0,15.498868731401846,1921.0
37,marks,3.0799999999999272,14.60158496811787,1921.08
38,marks,3.1700000000000728,14.900471117870993,1921.17
39,marks,3.25,15.100801541641486,1921.25
40,marks,3.3299999999999272,14.801304730208221,1921.33
41,marks,3.4200000000000728,16.500610013202277,1921.42
42,marks,3.5,18.302061063110557,1921.5
43,marks,3.5799999999999272,20.10018247113693,1921.58
44,marks,3.6700000000000728,24.997697021785076,1921.67
45,marks,3.75,35.801399184306895,1921.75
46,marks,3.8299999999999272,62.60369976726429,1921.83
47,marks,3.9200000000000728,45.698295328596096,1921.92
48,marks,4.0,45.698295328596096,1922.0
49,marks,4.079999999999927,49.49940743969351,1922.08
50,marks,4.170000000000073,67.70176640518243,1922.17
51,marks,4.25,69.29469698425558,1922.25
52,marks,4.329999999999927,69.10349294049402,1922.33
53,marks,4.420000000000073,75.59620603389214,1922.42
54,marks,4.5,117.48975549395291,1922.5
55,marks,4.579999999999927,270.27134319428154,1922.58
56,marks,4.670000000000073,349.2207172634068,1922.67
57,marks,4.75,757.7047328658624,1922.75
58,marks,4.829999999999927,1711.1969599009542,1922.83
59,marks,4.920000000000073,1808.0065521100082,1922.92
60,marks,5.0,4280.55419586204,1923.0
61,marks,5.079999999999927,6649.668571246756,1923.08
62,marks,5.170000000000073,5046.612975635282,1923.17
63,marks,5.25,5825.054593417401,1923.25
64,marks,5.329999999999927,11355.336278419374,1923.33
65,marks,5.420000000000073,26199.922097727616,1923.42
66,marks,5.5,84178.2707660813,1923.5
67,marks,5.579999999999927,1100525.2214205416,1923.58
68,marks,5.670000000000073,23501739.06091388,1923.67
69,marks,5.75,6099580958.72238,1923.75
70,marks,5.829999999999927,522275916678.7714,1923.83
71,marks,5.920000000000073,1000000000000.0,1923.92
72,bitcoin,-0.5,0.09,2010.5
73,bitcoin,-0.4169999999999163,0.06,2010.583
74,bitcoin,-0.3330000000000837,0.06,2010.667
75,bitcoin,-0.25,0.06,2010.75
76,bitcoin,-0.16699999999991633,0.2,2010.833
77,bitcoin,-0.08300000000008367,0.23,2010.917
78,bitcoin,0.0,0.3,2011.0
79,bitcoin,0.08300000000008367,0.7,2011.083
80,bitcoin,0.16699999999991633,0.92,2011.167
81,bitcoin,0.25,0.77,2011.25
82,bitcoin,0.3330000000000837,3.03,2011.333
83,bitcoin,0.4169999999999163,9.57,2011.417
84,bitcoin,0.5,15.4,2011.5
85,bitcoin,0.5830000000000837,13.09,2011.583
86,bitcoin,0.6669999999999163,8.21,2011.667
